race,Actual_High_Income_Rate,Predicted_High_Income_Rate,Bias_Gap
Amer-Indian-Eskimo,0.09375,0.046875,-0.046875
Asian-Pac-Islander,0.23655913978494625,0.24193548387096775,0.005376344086021501
Black,0.14311270125223613,0.08228980322003578,-0.060822898032200354
Other,0.07894736842105263,0.10526315789473684,0.02631578947368421
White,0.2639799460084844,0.23119938295410722,-0.03278056305437718
