Feature,Importance
fnlwgt,0.1606432372845051
age,0.1519062281558165
capital_gain,0.09537961680267337
hours_per_week,0.08336221840414798
marital_status_Married-civ-spouse,0.06628828723179073
education_num,0.06290257256150344
relationship_Husband,0.0419316908186704
capital_loss,0.029941844174392586
marital_status_Never-married,0.02024587292755796
occupation_Exec-managerial,0.018101804218278374
occupation_Prof-specialty,0.015711659459933355
education_Bachelors,0.012121500591595143
workclass_Private,0.010811417298461934
relationship_Not-in-family,0.01023694452689853
relationship_Wife,0.00962678296610203
sex_Female,0.009352570472634648
sex_Male,0.009308140034593066
relationship_Own-child,0.009173340567906781
workclass_Self-emp-not-inc,0.008681681585326473
education_Masters,0.0084463472377778
occupation_Other-service,0.007876318198564287
education_HS-grad,0.007147383951060817
occupation_Sales,0.006980923472070351
occupation_Craft-repair,0.006937658312200794
marital_status_Divorced,0.00668656034104533
race_White,0.006374907193682495
occupation_Adm-clerical,0.006004133282475622
education_Some-college,0.005770441822736728
workclass_Local-gov,0.005731339234865349
native_country_United-States,0.005588252406380318
workclass_Federal-gov,0.005577028178991348
relationship_Unmarried,0.005442873806196215
workclass_Self-emp-inc,0.005379513123312045
occupation_Transport-moving,0.005300052998205018
race_Black,0.004945508874568826
occupation_Farming-fishing,0.004859063852734224
occupation_Tech-support,0.00485872092491726
workclass_State-gov,0.004857608518262199
education_Prof-school,0.0047662588277237825
occupation_Machine-op-inspct,0.0041552381614511375
education_Doctorate,0.003324530393690645
occupation_Handlers-cleaners,0.003308513338303573
occupation_Protective-serv,0.003153685156665464
education_Assoc-voc,0.0030825672604261776
race_Asian-Pac-Islander,0.002751362823831711
education_Assoc-acdm,0.0024569252140717646
education_11th,0.0022690836435177793
education_7th-8th,0.0020238790105714982
native_country_Mexico,0.0016746815299662065
relationship_Other-relative,0.00161840147896932
marital_status_Separated,0.001580018692270614
education_10th,0.0015042663574015322
marital_status_Widowed,0.0014613804948043383
race_Amer-Indian-Eskimo,0.001330892488691216
native_country_Germany,0.0012115960915115662
education_9th,0.0010848288947021454
native_country_England,0.001067635870939472
native_country_Canada,0.0010141592830180384
native_country_Philippines,0.0009162344871540962
education_12th,0.0008239238672680418
native_country_Cuba,0.0008117180388155449
race_Other,0.0007950970657990023
marital_status_Married-spouse-absent,0.0007492504021166413
native_country_India,0.0007351628281614858
education_5th-6th,0.0006967354668038995
native_country_South,0.0006706092394298323
native_country_Italy,0.0005626798636195507
native_country_Japan,0.0005280504889820506
native_country_Poland,0.0005118028375138808
native_country_Puerto-Rico,0.00043815444529909605
native_country_Greece,0.00043508056003045475
native_country_China,0.0003962079202577089
native_country_Iran,0.0003945027858584983
native_country_Jamaica,0.00038959267390586077
native_country_France,0.00037160912919123997
native_country_Yugoslavia,0.0003587726942873135
native_country_Cambodia,0.0003315523466150341
native_country_Vietnam,0.0003236361815468348
native_country_Taiwan,0.00029264744572496534
education_1st-4th,0.0002704024165856496
marital_status_Married-AF-spouse,0.00024044746439642114
native_country_Portugal,0.00021211331489288888
native_country_Ireland,0.00021088997001942895
native_country_El-Salvador,0.00020147372995730773
native_country_Dominican-Republic,0.00019839196296195631
native_country_Haiti,0.00019280696120074582
native_country_Guatemala,0.00018509541965015098
native_country_Columbia,0.00016285947613816905
native_country_Ecuador,0.0001572225311678541
occupation_Priv-house-serv,0.00014677438778945776
native_country_Hungary,0.00014646233880576066
native_country_Hong,0.000143823912116885
native_country_Peru,0.00011398700996981141
native_country_Nicaragua,0.00010661173523508172
native_country_Laos,8.513492173764194e-05
native_country_Thailand,8.294701238214337e-05
native_country_Scotland,7.446807549710014e-05
native_country_Trinadad&Tobago,5.1602220988810996e-05
workclass_Without-pay,5.073594691833874e-05
education_Preschool,4.774688017508658e-05
native_country_Outlying-US(Guam-USVI-etc),3.1874898728343414e-05
occupation_Armed-Forces,1.5867700268598133e-05
native_country_Honduras,4.4587283928121825e-06
native_country_Holand-Netherlands,8.293902790662878e-07
